s,t,status,forcedness_ln,L1,L2,path_len_edges
9369825760,5833798060,ok,0.002245155138402,5098.674370409769,5110.134545493059,40
3966737269,3955635841,ok,7.89854456630513e-06,4323.526111607378,4323.56026130592,42
3955635824,9366887327,ok,6.415846265571831e-07,4001.5878690712825,4001.5904364293647,37
9327595789,5913325099,ok,4.8377378715113924e-05,5922.613570700389,5922.90009815075,60
5340962524,13072303640,ok,0.0019539968760373394,3176.53231082069,3182.7453131494117,22
7868203086,11368472901,ok,0.0005911688647035014,3788.9910015629657,3791.2315972916945,31
11383450521,4712721481,ok,0.0007484008416385234,3409.5572939471,3412.1099645867857,29
6146228324,9327595813,ok,0.004592435255737279,5756.168960462799,5782.664586892211,16
4637864544,9422094486,ok,0.0008665762126171812,7379.877141571983,7386.275139330856,38
768530239,9327595723,ok,0.002827864973852735,3514.2831331679026,3524.235116148418,31
8491438773,9369659501,ok,0.13030100600385178,701.8683326131913,799.5482111308033,8
9422127079,3008086121,ok,0.0005600279468382369,3773.8307509300425,3775.9447935234152,27
11757562278,806429427,ok,0.002735074713110635,2544.006055898909,2550.973626602133,16
4642688818,4644456561,ok,8.831683244766539e-06,3435.8465900526526,3435.8769344954094,32
9075904231,9013292104,ok,0.0005748770459877963,5651.53635206691,5654.786224639349,45
6145432092,4682895168,ok,0.0009440630249787312,1646.8646668857057,1648.4201450440366,16
4646533436,5340951574,no_path,,,,0
9081625472,4644458371,ok,0.000499714407355604,6425.380499659581,6428.592157256956,43
11383564624,9327595710,ok,0.002294363926695219,1414.8347457484158,1418.0846183208548,17
8086956143,11383463957,ok,0.0036305030708271477,3677.0833042234,3690.45722879855,13
9369659486,11383517052,ok,0.005462796869437141,3375.8604157897835,3394.352518815089,35
12037635561,4637461270,ok,0.0002934754115243556,8326.15025925724,8328.594138222641,42
5172385286,7868195242,ok,0.0065507945919374075,2996.0404508578627,3015.7313214488613,32
4563797943,4682895167,ok,0.0007939065548793477,3454.505576585746,3457.2492201610667,27
4644457891,4654975985,ok,0.0004773418085219063,1902.5993274038224,1903.5077344007284,16
11292996702,607332603,ok,0.0007830644456667074,5042.225337536663,5046.1752712500165,23
4682895589,4644457958,ok,0.0016750695195770886,870.4355201761116,871.8947820260321,14
3955454009,5130438582,ok,0.004341711898085147,6845.5429194955805,6875.328908940434,36
9274304207,11368447934,ok,0.0005790557077214512,3531.8717719000447,3533.917514650849,40
9966099863,7259984656,ok,8.101672921733358e-05,8090.894954674415,8091.550479073946,33
11361103093,3966737344,ok,7.046912970631865e-06,4306.046628552616,4306.076972995373,46
4789066242,9327596004,ok,0.00019144721167897952,10628.628197157243,10630.663213182417,64
1000302442,436947475,ok,0.0007304783758699719,8755.442262404464,8761.840260163337,53
11815778165,5344150555,ok,0.0015689357830816774,4404.814698865417,4411.730994457392,37
3966737315,9259996682,ok,0.0001093759041844869,4246.001358115109,4246.465793751392,33
4655595082,10614202028,ok,0.001230127839771481,8085.2272489464685,8095.1792319269825,43
10614198463,5172385295,ok,0.0008455740394561946,7047.508622854402,7053.470333367335,25
9422127049,5364054079,ok,0.012484932505809997,1906.5689328262472,1930.5215294156094,18
11368370558,9274304726,ok,0.0002509370809837052,2441.4074320631335,2442.0201485910607,33
9327595773,9229590643,ok,0.0008322972545834531,3857.1811191165134,3860.3927767138875,40
5130438578,6967793539,ok,0.0026444640255541465,5109.91478272217,5123.445651601392,35
11383454616,2094269048,ok,0.008571825871965208,4937.726658690109,4980.233913934577,27
5346244969,9422127020,ok,0.010601392474498268,3183.724396280138,3217.6558506739675,30
3966735842,11370676753,ok,4.577423770713226e-05,6308.276696771608,6308.565459937555,59
11361103093,4761276197,ok,0.000919857283395194,1974.4002447513592,1976.2172467599771,20
436947475,11383454591,ok,0.016038816839381496,2636.207893677416,2678.830443172512,15
5599526715,2377078374,ok,0.0004040634584064979,5058.228756758268,5060.2730151403775,45
5364054048,11366072194,ok,0.0007525388133949147,7106.408754830982,7111.758615979446,43
4644458182,4644456533,ok,0.06074991830945347,528.5384149554516,561.642433308904,13
10182037320,11383494908,ok,0.0011114038802580522,4937.2994670617045,4942.789851299414,35
9081636040,4644457896,ok,0.0005123239701756052,6341.768761279454,6345.018633851893,52
6730113077,3966919725,ok,0.0003817844951844754,8510.697205932469,8513.947078504909,58
11383494891,5346309961,ok,0.001572346027759561,4065.8792854478033,4072.2772832066753,41
4644458337,9366839622,ok,0.03328854331748509,1952.7026252497903,2018.799278314183,16
4655595076,4644456528,ok,0.004532740950329247,2867.420262845527,2880.4470372859896,29
4682895173,3582943798,ok,0.0017770594920810427,820.437156368884,821.8964182188043,11
4644457903,768530214,ok,0.0037060318065413413,3508.510236521701,3521.537010962163,34
7868195280,11381207812,ok,0.0002999057043815528,5363.090468680763,5364.699131316927,33
11383450479,11377008379,ok,0.0006842033035982553,6958.75970782526,6963.5225433944115,47
2089664699,11005384324,ok,0.007154613144228172,3198.8789593581328,3221.8477693041855,28
11383553090,11377008416,ok,0.001931192447861603,8041.350440364729,8056.894840388661,64
11375161504,11383564625,ok,0.0013671822968621742,7053.790867164812,7063.4412805981665,54
9422127105,5172386735,ok,0.021558269793406987,1884.6148267262574,1925.684971618542,12
11383564617,9369862939,ok,0.007744495587043986,1835.6823358063618,1849.9539614953576,17
4644456565,2093019980,ok,0.0002535398007099029,2791.3848560712354,2792.0926729574326,34
11383553117,9236657912,ok,0.0010795691500501464,6403.075665605725,6409.991961197699,54
9352983247,9081625472,ok,0.004844852165563156,5490.706517555431,5517.372723670307,35
3966737343,4655064743,ok,1.0492824631701496e-05,1175.7173446634508,1175.729681324088,12
9327481445,11366072201,ok,0.000985396134281576,10512.960366803962,10523.324903057577,84
11383553083,11377008432,ok,0.0008465512312352118,8166.50930346949,8173.425599061464,72
4644456568,11368342960,ok,0.0004724863849455399,2983.8751468580845,2985.285320357007,28
4644458128,2093019980,ok,0.00024097850219476416,2936.9076446647314,2937.6154615509286,38
6518850347,414688836,ok,0.0006403490297582442,2070.756741305128,2072.0831730195937,14
7868195275,9369826392,ok,0.025313745950692055,1650.8689126825298,1693.1920069858058,15
6294677724,5913325097,ok,0.0007681369385061445,9000.530054484316,9007.44635007629,70
11377005954,9274304203,ok,0.013277303139169569,1585.5869803041885,1606.77967890524,17
8900434746,2022937138,ok,0.0016661099884797217,9321.986175635066,9337.530575658997,65
4682797797,11368472921,ok,0.00046554365960957666,3095.19722590684,3096.638510815096,37
8491438792,4644458109,ok,0.010414240995523143,2697.8630017731416,2726.1060067156723,30
5347213075,11370689774,ok,0.005191413322872202,1991.2990148465185,2001.6635511001334,30
5172240732,5913325101,ok,0.000491104507480196,4303.612562593582,4305.726605186954,38
4644457983,10614198451,ok,0.00017309260580322038,9169.279536029419,9170.866807886196,51
10913605003,9352983540,ok,0.008899156868588103,1820.7398240035473,1837.015184396409,16
4644458122,12944617217,ok,6.457652812318303e-05,4627.824012594458,4628.122871051473,35
11166132492,9013319820,ok,4.793601551212563e-05,3005.1821242914525,3005.3261842011807,20
11383534579,3462616846,ok,0.0003244680249352111,6270.8363778475,6272.871393872674,58
9170269042,5464361359,ok,6.338561833769455e-05,2179.2360893924665,2179.3742259973874,39
5172386356,9422127022,ok,0.0011824585034101718,3081.3830733608447,3085.0288360349473,26
11383553120,9073193352,ok,0.0004897139153406216,6044.486641571552,6047.447435702892,60
4644458372,11370676750,ok,0.004661081362485771,2114.895615166888,2124.776325210306,23
4644456539,4644458330,ok,0.0076500090820415265,820.0927795197998,826.3905550376903,17
9352962609,9352983245,ok,0.8399673974227468,219.2321152615294,507.8054760045284,5
6967793567,11383534571,ok,0.0004306696102156368,7544.467347873789,7547.717220446229,51
7461492181,806428924,ok,0.0001556473017839468,2491.9447410767343,2492.332635738473,20
5172386465,9195159945,ok,0.00029664230116572003,4309.139305065534,4310.417767678703,37
11383454605,9369659512,ok,0.0017894709645886167,4222.7803506243545,4230.343658593363,33
4644457908,9352983232,ok,0.007717619223312526,1681.4215473071943,1694.448321747657,21
11383450559,11377005938,ok,0.000976439042149359,8295.175494037872,8303.27918298701,51
5172386661,9352983236,ok,0.0006856979014812448,3647.8549472777645,3650.3571315332274,31
6729361898,9422127050,ok,0.011013926761302613,3561.054219626132,3600.492194806219,35
6070570530,9078697595,ok,0.0003608916300705328,3541.8719286061846,3543.150391219353,21
2088595643,4635508966,ok,0.004634018347779312,6080.600909925635,6108.843914868168,49
12944617217,5920272168,ok,0.00020982387309348085,4262.426891498645,4263.321344253286,35
3960700328,11383463957,ok,0.001713065760411381,6276.025749156249,6286.786208033959,44
5464361358,11383454599,ok,4.9579064931116135e-05,7202.751757229856,7203.10887177954,62
11383564601,2352785221,ok,0.0037507090297151414,3797.916060497302,3812.1876861862975,37
437306384,4644456530,ok,0.003120405581025769,4168.195531947207,4181.22230638767,38
4644457967,4632668438,ok,0.11594096410133709,508.0785114942439,570.5363880050116,7
4654976193,3966737289,ok,0.0009339473296262863,3479.395151662866,3482.6462414104544,25
11383564583,6518850376,ok,0.00023343603645959877,3467.623774995904,3468.433337832766,43
5913230266,3966737281,ok,0.0010769388594594205,3095.7863275161308,3099.122095999768,29
3955635841,9260067524,ok,0.001952062609703398,1511.4777130793411,1514.4310938627098,18
10738344162,5869979422,ok,0.005041347904339748,7633.766695734024,7672.348339498973,52
5599526716,4682797789,ok,0.0010932755259375595,2722.1490522330914,2725.12673858907,34
9422094491,13169560595,ok,0.00041015819666386394,7921.836412122672,7925.08628469511,51
8491438761,3966737295,ok,0.0011202801531155558,6170.2621453692345,6177.178440961209,55
10738344117,4644458172,ok,0.002298373396064099,6065.002462237098,6078.958134072376,39
9327595787,3960700328,ok,0.0005459534827848533,5951.029924683023,5954.279797255462,65
4682895176,11383517044,ok,0.005645624636848127,4056.953089671554,4079.921899617607,36
11377008393,11383534598,ok,0.0003998842591817511,8125.408176736794,8128.658049309234,78
5364054041,9422127061,ok,6.025799869328758e-05,7707.219846533531,7707.684282169814,53
9369826414,4642688811,ok,0.0019476200645045369,5878.466175752166,5889.926350835456,43
6145495371,2087123502,ok,6.95343129797328e-07,3692.2162300912755,3692.218797449357,33
9352983221,9327596004,ok,0.0004684953893614245,6935.204551640005,6938.454424212443,38
6168025717,12037635483,ok,0.0006178376506438681,10352.26890717709,10358.666904935963,59
11377005938,5172385278,ok,0.0015086859493517817,6391.744780542991,6401.395193976346,42
11375055967,5172385286,ok,0.001571159481031269,6137.400032076125,6147.05044550948,36
9369659434,9195159984,ok,0.004717393956910132,2564.7485491251336,2576.8760610672784,32
4682895165,12944434509,ok,0.0025944197416924585,5983.705776070207,5999.25017609414,36
5340979168,4682895167,ok,0.007948484730014301,1632.3955957008234,1645.4223701412861,26
5130438582,7868203108,ok,0.0003041333952934565,4202.98537160843,4204.263834221599,27
6041001002,5172386814,ok,0.00383880572488082,2979.622644041851,2991.0828191251403,27
8086586376,11383564600,ok,0.0005069688099555097,5033.886862555682,5036.439533195367,31
11383544065,5172386446,ok,0.007702039147948249,3466.256237822824,3493.0565551239574,30
9352983433,9327434880,ok,0.0018549614970762745,5582.286389244163,5592.650925497777,45
9422127047,12037635559,ok,0.0004654361904512633,6980.798643533023,6984.048516105462,36
5920272184,5172385278,ok,0.00041883713307795694,4164.575849965663,4166.320494310562,40
5172386601,10913604986,ok,0.004380493204161558,971.5426360157264,975.8078068860905,7
1980805253,607332433,ok,0.00015495014461103845,3357.484478225697,3358.0047612390504,16
9274304721,11383553126,ok,4.101596827016367e-07,6259.409843577134,6259.412410935216,67
11377005957,4712721504,ok,8.359214447843988e-05,5555.740050281952,5556.204485918235,37
11377008431,9195159986,ok,4.9825667464448923e-05,5795.32571848281,5795.614481648756,54
7868195246,10212002726,ok,0.0016343514894613742,5596.706537028363,5605.8610014618125,37
4646571251,1980805253,ok,0.00014994448139609773,3097.151779438844,3097.6162150751275,15
